ServiceType,AvgServiceDurationMins,DayOfWeek,HourOfDay,QueueLengthAtJoin,StaffOnDuty,ActualWaitMinutes,IsNoShow
Haircut,30,2,16,0,3,9.5,0
Buzz Cut,15,2,17,6,3,32.6,0
Haircut,30,3,12,4,2,77.6,0
Haircut,30,0,16,4,3,43.2,0
Buzz Cut,15,1,12,0,2,7.7,0
Buzz Cut,15,3,15,0,2,7.3,0
Beard Trim,20,4,16,0,3,6.8,0
Haircut + Beard,45,1,11,3,2,95.0,0
Beard Trim,20,5,13,0,3,8.0,0
Buzz Cut,15,6,13,6,3,33.5,0
Beard Trim,20,2,17,0,3,6.4,0
Haircut,30,4,10,1,2,31.0,0
Beard Trim,20,0,16,2,3,20.7,0
Haircut,30,6,15,3,3,41.6,0
Haircut,30,4,17,2,3,31.3,0
Beard Trim,20,0,13,1,2,20.4,0
Buzz Cut,15,0,18,1,3,8.5,0
Haircut,30,6,12,3,3,43.6,0
Buzz Cut,15,2,17,0,3,5.3,0
Buzz Cut,15,3,9,2,2,27.9,0
Haircut,30,2,13,0,2,16.8,0
Haircut,30,1,10,0,2,13.9,0
Haircut,30,4,11,1,2,26.2,0
Buzz Cut,15,3,18,2,3,16.5,0
Haircut,30,5,17,0,3,9.1,1
Haircut,30,6,16,2,3,27.4,0
Haircut + Beard,45,1,18,1,3,26.6,0
Haircut + Beard,45,3,13,4,2,110.7,0
Haircut,30,5,13,5,3,55.9,0
Haircut,30,1,10,1,2,28.4,0
Haircut,30,6,14,0,3,10.2,0
Haircut + Beard,45,5,12,3,3,62.9,0
Beard Trim,20,3,14,0,2,10.2,0
Haircut + Beard,45,5,10,1,3,27.1,0
Haircut,30,6,10,5,3,58.2,0
Haircut,30,0,12,0,2,12.7,0
Beard Trim,20,2,12,0,2,10.9,0
Beard Trim,20,2,17,3,3,23.3,0
Haircut,30,6,18,1,3,17.6,0
Haircut + Beard,45,4,18,0,3,14.5,0
Haircut,30,5,15,4,3,46.7,1
Haircut,30,0,18,4,3,52.8,0
Haircut,30,4,15,1,2,32.5,0
Beard Trim,20,0,10,1,2,18.8,0
Beard Trim,20,6,10,2,3,17.8,0
Beard Trim,20,2,15,1,2,19.2,0
Haircut,30,2,14,1,2,30.3,0
Buzz Cut,15,5,17,2,3,15.1,0
Haircut + Beard,45,0,12,0,2,25.0,0
Haircut,30,2,15,1,2,32.6,0
Beard Trim,20,0,11,2,2,28.3,0
Haircut + Beard,45,5,9,2,3,47.1,0
Haircut,30,5,9,0,3,11.3,0
Buzz Cut,15,1,11,1,2,14.8,0
Beard Trim,20,2,16,0,3,7.4,0
Haircut,30,4,18,2,3,25.7,0
Haircut,30,5,16,4,3,57.1,0
Buzz Cut,15,6,16,2,3,14.1,0
Buzz Cut,15,6,12,3,3,19.4,0
Haircut,30,5,12,2,3,29.9,0
Haircut,30,0,15,0,2,13.7,0
Haircut,30,0,16,2,3,26.9,0
Haircut + Beard,45,0,17,0,3,18.5,0
Haircut + Beard,45,3,16,0,3,14.9,0
Beard Trim,20,0,11,1,2,19.5,0
Haircut,30,5,18,2,3,32.5,0
Haircut,30,5,12,4,3,50.4,0
Buzz Cut,15,3,13,1,2,13.5,0
Haircut,30,2,16,0,3,10.6,0
Haircut,30,2,10,0,2,15.8,0
Beard Trim,20,5,13,2,3,17.9,0
Buzz Cut,15,5,12,5,3,28.2,0
Haircut,30,5,17,4,3,49.8,1
Buzz Cut,15,3,17,1,3,10.4,0
Haircut,30,1,12,4,2,87.2,0
Haircut + Beard,45,2,16,1,3,29.6,0
Buzz Cut,15,3,18,1,3,9.4,0
Buzz Cut,15,5,18,1,3,8.5,0
Haircut,30,6,9,0,3,11.0,0
Haircut + Beard,45,5,17,3,3,61.8,0
Haircut,30,4,15,0,2,16.5,0
Haircut,30,3,12,0,2,15.1,0
Buzz Cut,15,4,18,3,3,18.0,0
Haircut + Beard,45,1,17,1,3,31.2,0
Buzz Cut,15,2,18,0,3,5.6,0
Haircut + Beard,45,0,14,0,2,20.2,0
Haircut + Beard,45,2,18,0,3,14.0,0
Haircut,30,3,9,0,2,16.8,0
Haircut,30,6,10,5,3,64.2,0
Haircut,30,5,14,2,3,32.3,0
Haircut,30,6,13,1,3,19.3,0
Buzz Cut,15,4,14,0,2,7.7,0
Haircut,30,4,11,1,2,29.9,0
Beard Trim,20,6,10,1,3,12.9,0
Haircut,30,5,17,1,3,19.3,0
Haircut + Beard,45,0,11,1,2,50.4,0
Haircut,30,6,17,4,3,45.3,0
Haircut,30,2,13,0,2,15.9,0
Haircut,30,0,10,0,2,13.0,0
Beard Trim,20,6,12,3,3,31.8,0
Beard Trim,20,0,10,2,2,32.4,0
Buzz Cut,15,1,10,1,2,15.0,0
Haircut + Beard,45,6,10,1,3,30.6,0
Beard Trim,20,2,15,2,2,27.7,0
Haircut,30,0,18,2,3,27.5,0
Buzz Cut,15,2,10,0,2,8.1,0
Beard Trim,20,1,14,1,2,19.9,0
Haircut,30,1,17,0,3,10.6,0
Haircut,30,6,17,2,3,28.8,0
Haircut + Beard,45,1,12,2,2,60.8,0
Buzz Cut,15,4,18,4,3,23.5,0
Beard Trim,20,5,14,0,3,6.6,0
Buzz Cut,15,5,12,6,3,35.9,0
Buzz Cut,15,5,14,1,3,10.1,0
Haircut,30,1,16,2,3,31.5,0
Haircut,30,5,18,3,3,38.8,0
Buzz Cut,15,3,9,1,2,13.6,0
Haircut,30,6,15,0,3,11.1,0
Haircut,30,5,16,3,3,47.6,0
Buzz Cut,15,1,13,2,2,20.9,0
Haircut + Beard,45,2,16,2,3,43.5,0
Haircut,30,3,12,2,2,46.4,0
Buzz Cut,15,2,11,0,2,7.1,0
Beard Trim,20,5,13,0,3,7.4,0
Haircut + Beard,45,1,10,1,2,43.7,0
Buzz Cut,15,5,10,0,3,4.5,0
Haircut,30,5,17,1,3,17.8,0
Haircut + Beard,45,5,15,0,3,16.1,1
Haircut + Beard,45,1,17,0,3,16.1,0
Haircut,30,2,14,0,2,13.5,0
Haircut,30,6,9,1,3,19.8,0
Buzz Cut,15,5,17,0,3,4.5,0
Buzz Cut,15,6,16,0,3,5.1,0
Beard Trim,20,2,17,1,3,16.2,0
Beard Trim,20,3,18,4,3,36.8,0
Haircut,30,6,12,5,3,52.9,0
Haircut,30,2,18,0,3,9.7,0
Haircut,30,1,12,0,2,15.4,0
Buzz Cut,15,1,16,6,3,35.1,0
Buzz Cut,15,0,13,0,2,9.6,0
Buzz Cut,15,0,9,1,2,15.7,0
Haircut,30,4,11,3,2,54.1,0
Haircut,30,1,15,3,2,66.0,0
Haircut,30,6,14,1,3,18.5,0
Beard Trim,20,5,12,6,3,51.0,0
Haircut + Beard,45,5,13,1,3,28.8,0
Haircut,30,4,17,0,3,10.1,0
Haircut,30,6,18,1,3,21.3,0
Haircut,30,3,9,3,2,54.0,0
Haircut,30,3,18,3,3,37.6,0
Haircut,30,6,17,1,3,17.3,0
Buzz Cut,15,6,17,2,3,12.2,0
Haircut,30,4,13,0,2,17.0,0
Beard Trim,20,3,13,0,2,9.5,0
Haircut,30,3,11,4,2,68.3,1
Haircut,30,3,13,2,2,43.7,0
Buzz Cut,15,4,11,2,2,23.1,0
Haircut,30,4,16,0,3,7.6,0
Haircut,30,5,15,1,3,19.6,0
Buzz Cut,15,5,14,3,3,18.1,0
Haircut + Beard,45,0,15,1,2,43.4,0
Beard Trim,20,6,12,0,3,6.2,0
Buzz Cut,15,1,9,0,2,6.7,0
Haircut,30,3,14,0,2,14.5,0
Haircut,30,2,16,0,3,10.0,0
Haircut + Beard,45,3,12,0,2,22.2,0
Buzz Cut,15,6,13,3,3,17.3,0
Haircut,30,1,16,2,3,30.8,0
Buzz Cut,15,1,11,0,2,8.8,0
Beard Trim,20,6,18,4,3,40.7,0
Haircut,30,6,15,1,3,20.1,0
Buzz Cut,15,6,14,3,3,25.2,0
Buzz Cut,15,6,10,2,3,11.8,0
Haircut,30,0,16,3,3,42.2,0
Buzz Cut,15,6,12,2,3,14.0,0
Haircut,30,0,10,0,2,16.2,0
Beard Trim,20,6,13,5,3,37.3,0
Beard Trim,20,2,10,1,2,19.9,0
Haircut,30,1,17,2,3,27.3,0
Haircut + Beard,45,0,14,4,2,119.2,1
Haircut + Beard,45,6,15,1,3,29.5,0
Beard Trim,20,0,15,0,2,8.6,0
Haircut,30,4,11,1,2,27.2,0
Haircut + Beard,45,0,18,0,3,14.4,0
Haircut + Beard,45,3,17,2,3,46.9,0
Buzz Cut,15,6,11,8,3,40.3,0
Haircut,30,6,15,6,3,82.1,0
Haircut,30,1,13,0,2,16.8,0
Beard Trim,20,1,11,1,2,19.3,0
Haircut,30,1,9,2,2,37.7,0
Beard Trim,20,5,13,4,3,36.8,0
Buzz Cut,15,1,13,2,2,22.4,0
Haircut,30,0,13,0,2,15.3,0
Haircut,30,4,11,1,2,24.9,0
Haircut,30,1,11,0,2,14.1,0
Haircut,30,4,12,0,2,15.6,0
Buzz Cut,15,5,18,0,3,5.1,0
Haircut,30,0,15,1,2,27.2,0
Beard Trim,20,5,9,6,3,43.4,0
Buzz Cut,15,6,17,2,3,14.6,0
Haircut,30,2,13,2,2,45.7,0
Haircut,30,0,18,3,3,40.9,1
Haircut + Beard,45,3,9,0,2,17.5,0
Haircut,30,4,17,4,3,52.2,1
Beard Trim,20,4,11,0,2,8.3,0
Haircut,30,0,10,0,2,15.6,0
Beard Trim,20,3,17,0,3,7.9,0
Haircut + Beard,45,2,18,2,3,46.5,0
Haircut,30,1,18,1,3,20.1,0
Haircut,30,6,9,0,3,12.0,0
Haircut,30,2,18,0,3,11.1,0
Haircut,30,1,13,3,2,57.8,0
Buzz Cut,15,2,14,1,2,14.8,0
Buzz Cut,15,2,14,0,2,6.2,0
Beard Trim,20,4,11,3,2,38.5,0
Haircut + Beard,45,1,16,5,3,85.8,1
Beard Trim,20,5,13,2,3,19.7,0
Haircut,30,1,17,0,3,11.1,0
Haircut + Beard,45,6,12,1,3,27.9,0
Haircut,30,5,16,2,3,29.7,0
Haircut + Beard,45,0,12,2,2,67.6,0
Beard Trim,20,0,18,3,3,28.6,0
Beard Trim,20,2,14,1,2,21.5,0
Beard Trim,20,2,10,1,2,22.2,0
Buzz Cut,15,5,14,3,3,22.5,0
Buzz Cut,15,6,13,2,3,13.4,0
Haircut + Beard,45,6,11,4,3,72.7,0
Beard Trim,20,3,18,1,3,14.5,0
Buzz Cut,15,1,18,1,3,10.5,0
Haircut + Beard,45,5,18,0,3,12.8,0
Haircut,30,1,12,0,2,17.4,0
Haircut,30,1,10,1,2,29.7,0
Haircut,30,6,18,0,3,9.3,0
Haircut,30,0,14,0,2,15.7,0
Haircut,30,0,13,1,2,29.8,0
Buzz Cut,15,6,9,6,3,32.8,0
Buzz Cut,15,0,16,5,3,32.3,0
Haircut,30,3,14,2,2,43.1,0
Haircut,30,1,14,1,2,35.4,0
Haircut,30,4,14,1,2,29.8,0
Haircut + Beard,45,2,10,0,2,20.5,0
Haircut,30,1,13,1,2,38.0,0
Haircut + Beard,45,1,13,0,2,18.9,0
Haircut,30,3,10,0,2,13.6,0
Haircut,30,2,14,0,2,17.6,0
Haircut,30,2,14,2,2,43.8,0
Haircut,30,5,9,2,3,30.0,0
Haircut,30,2,15,0,2,15.5,0
Haircut,30,0,10,0,2,16.4,0
Buzz Cut,15,6,9,2,3,17.1,0
Haircut,30,6,16,6,3,77.8,0
Haircut,30,2,9,2,2,43.2,0
Beard Trim,20,6,9,1,3,12.8,0
Haircut,30,5,17,0,3,10.1,0
Haircut,30,6,10,0,3,9.7,0
Buzz Cut,15,2,18,0,3,5.4,0
Haircut,30,5,10,1,3,18.5,0
Beard Trim,20,5,12,4,3,33.3,0
Haircut,30,6,13,2,3,29.3,0
Buzz Cut,15,1,11,0,2,6.1,0
Haircut,30,2,18,0,3,9.5,0
Beard Trim,20,2,9,1,2,22.3,0
Haircut,30,1,13,2,2,48.0,0
Haircut,30,5,11,4,3,42.8,0
Buzz Cut,15,2,18,3,3,21.5,0
Haircut,30,5,12,1,3,22.4,0
Haircut,30,6,13,0,3,9.6,0
Haircut,30,6,13,4,3,46.2,0
Beard Trim,20,0,18,0,3,5.7,0
Haircut,30,4,16,3,3,43.6,0
Haircut,30,5,16,4,3,47.2,0
Haircut,30,4,11,1,2,29.1,0
Haircut,30,4,15,1,2,30.8,0
Beard Trim,20,4,18,0,3,5.5,0
Haircut + Beard,45,1,10,1,2,46.7,0
Buzz Cut,15,4,16,1,3,7.9,0
Haircut,30,3,17,1,3,22.1,0
Haircut,30,4,11,0,2,14.0,0
Haircut,30,5,14,1,3,21.9,0
Haircut,30,4,10,1,2,31.3,0
Haircut,30,5,18,0,3,9.5,0
Haircut,30,0,11,1,2,32.1,0
Haircut,30,6,15,0,3,12.2,0
Haircut,30,3,18,1,3,20.2,0
Haircut,30,3,13,1,2,30.2,0
Haircut + Beard,45,4,16,2,3,49.1,0
Haircut,30,2,17,2,3,28.3,0
Buzz Cut,15,1,18,3,3,17.4,0
Haircut,30,3,16,0,3,10.1,0
Haircut,30,1,13,4,2,72.4,0
Haircut,30,3,15,1,2,33.4,0
Haircut,30,6,16,2,3,33.2,0
Haircut,30,0,16,1,3,17.4,0
Haircut,30,5,17,7,3,91.1,1
Beard Trim,20,0,17,2,3,19.8,0
Beard Trim,20,4,17,3,3,32.8,0
Haircut,30,3,18,0,3,9.0,0
Buzz Cut,15,0,18,2,3,14.8,0
Haircut,30,3,17,0,3,9.1,0
Haircut,30,2,11,0,2,10.6,0
Buzz Cut,15,3,16,2,3,17.0,1
Beard Trim,20,0,13,1,2,19.4,1
Haircut,30,4,18,3,3,36.5,0
Beard Trim,20,0,16,3,3,30.2,0
Haircut + Beard,45,1,17,0,3,16.7,0
Haircut,30,1,17,0,3,9.2,0
Buzz Cut,15,4,11,1,2,12.8,0
Haircut,30,4,10,0,2,16.4,0
Beard Trim,20,5,13,0,3,7.2,0
Haircut,30,6,18,6,3,75.8,1
Haircut,30,4,14,2,2,39.0,0
Beard Trim,20,5,17,3,3,23.0,0
Haircut,30,6,10,6,3,71.8,0
Beard Trim,20,5,15,2,3,19.6,0
Haircut,30,5,9,3,3,41.0,0
Haircut,30,2,18,3,3,39.7,0
Haircut,30,0,16,0,3,11.2,0
Buzz Cut,15,0,11,0,2,7.2,0
Beard Trim,20,2,16,1,3,12.6,0
Haircut + Beard,45,5,18,1,3,34.3,0
Haircut,30,6,14,3,3,32.8,0
Haircut,30,6,17,3,3,40.8,0
Buzz Cut,15,4,13,0,2,8.0,0
Haircut + Beard,45,0,11,1,2,40.2,0
Haircut,30,5,16,3,3,43.4,0
Buzz Cut,15,6,18,3,3,19.8,0
Haircut,30,3,9,1,2,31.9,0
Haircut,30,3,12,2,2,45.3,0
Haircut + Beard,45,5,13,0,3,11.8,0
Haircut,30,6,15,2,3,31.4,0
Haircut + Beard,45,0,18,1,3,29.9,0
Haircut,30,0,18,1,3,21.6,1
Haircut + Beard,45,5,13,2,3,43.5,0
Haircut,30,4,10,0,2,12.1,0
Haircut,30,5,17,1,3,20.3,0
Haircut,30,4,11,0,2,15.1,0
Haircut + Beard,45,5,9,1,3,30.2,0
Haircut + Beard,45,6,13,0,3,14.5,0
Beard Trim,20,5,11,3,3,27.0,0
Haircut,30,1,12,1,2,28.5,0
Haircut,30,6,17,1,3,20.2,0
Haircut,30,0,10,1,2,30.4,0
Haircut,30,5,12,5,3,59.1,0
Buzz Cut,15,2,16,0,3,5.2,0
Buzz Cut,15,5,11,3,3,19.1,0
Haircut,30,2,16,0,3,10.3,0
Haircut,30,4,10,1,2,28.7,0
Haircut + Beard,45,4,18,0,3,17.1,0
Haircut,30,0,9,0,2,13.5,0
Haircut,30,6,12,5,3,56.7,0
Buzz Cut,15,4,13,1,2,14.8,0
Haircut,30,5,17,1,3,19.5,0
Haircut,30,3,9,2,2,48.6,0
Buzz Cut,15,2,16,1,3,10.3,0
Haircut,30,4,14,0,2,15.5,0
Haircut,30,0,12,0,2,15.8,0
Buzz Cut,15,0,10,0,2,7.1,0
Haircut,30,5,10,1,3,19.9,0
Buzz Cut,15,4,11,3,2,33.0,0
Buzz Cut,15,3,10,2,2,23.3,0
Haircut + Beard,45,3,16,2,3,32.5,0
Haircut + Beard,45,2,9,1,2,43.6,0
Haircut + Beard,45,0,12,0,2,21.6,0
Haircut,30,5,16,4,3,47.2,0
Buzz Cut,15,1,16,0,3,5.0,0
Haircut,30,5,15,1,3,17.2,0
Buzz Cut,15,1,12,0,2,8.3,0
Haircut + Beard,45,1,13,0,2,25.6,0
Haircut,30,1,11,0,2,16.9,0
Haircut + Beard,45,4,14,1,2,41.1,0
Haircut,30,6,10,4,3,47.4,0
Buzz Cut,15,5,12,3,3,22.4,0
Haircut,30,5,13,2,3,29.3,0
Haircut,30,5,12,7,3,85.0,1
Beard Trim,20,5,10,4,3,35.4,0
Haircut,30,3,12,1,2,32.2,0
Haircut,30,6,18,2,3,28.2,0
Buzz Cut,15,4,11,2,2,21.5,0
Haircut,30,5,10,0,3,10.7,0
Haircut,30,5,12,4,3,50.6,0
Haircut + Beard,45,6,13,1,3,27.8,0
Buzz Cut,15,6,9,0,3,5.3,0
Haircut + Beard,45,1,9,0,2,21.5,0
Haircut,30,3,14,0,2,14.6,0
Haircut,30,6,17,4,3,58.4,0
Haircut,30,5,9,4,3,52.4,0
Beard Trim,20,6,9,4,3,37.4,0
Beard Trim,20,4,11,2,2,21.5,0
Buzz Cut,15,2,12,0,2,8.3,0
Buzz Cut,15,1,15,1,2,17.2,0
Haircut,30,4,17,3,3,44.4,0
Beard Trim,20,2,9,1,2,21.1,0
Buzz Cut,15,1,14,1,2,14.6,0
Haircut,30,4,15,1,2,24.5,0
Haircut,30,0,17,5,3,57.6,0
Haircut,30,5,11,1,3,20.7,0
Haircut,30,1,18,2,3,25.7,0
Haircut + Beard,45,3,14,1,2,50.4,0
Buzz Cut,15,6,16,1,3,10.8,0
Haircut,30,1,11,0,2,15.2,0
Haircut + Beard,45,5,10,0,3,13.1,0
Buzz Cut,15,5,13,6,3,33.8,0
Haircut,30,0,9,2,2,46.6,0
Haircut,30,5,11,0,3,10.3,0
Buzz Cut,15,0,16,3,3,16.1,0
Haircut + Beard,45,4,16,4,3,64.7,0
Beard Trim,20,1,12,1,2,19.4,0
Haircut,30,0,9,2,2,41.9,0
Haircut,30,3,17,0,3,9.5,0
Haircut + Beard,45,4,17,1,3,32.1,1
Buzz Cut,15,0,13,0,2,6.7,0
Haircut,30,0,13,2,2,45.8,0
Haircut,30,0,17,3,3,35.9,1
Haircut,30,0,9,0,2,14.3,0
Haircut,30,5,9,1,3,19.8,0
Haircut + Beard,45,4,9,3,2,82.8,0
Beard Trim,20,4,18,2,3,19.6,0
Buzz Cut,15,3,10,2,2,21.4,0
Beard Trim,20,6,11,2,3,22.0,0
Haircut,30,4,17,2,3,27.4,0
Haircut,30,0,16,3,3,33.6,0
Haircut,30,6,9,1,3,22.0,0
Buzz Cut,15,6,11,4,3,22.2,0
Haircut,30,3,16,1,3,21.1,0
Haircut,30,6,9,1,3,20.6,0
Beard Trim,20,1,13,1,2,17.1,0
Haircut,30,3,11,4,2,77.5,1
Haircut,30,5,12,1,3,20.8,0
Haircut,30,0,11,0,2,16.2,0
Haircut,30,2,15,0,2,16.4,0
Buzz Cut,15,2,11,0,2,7.0,0
Buzz Cut,15,6,15,0,3,5.6,0
Haircut,30,4,9,1,2,27.6,0
Haircut + Beard,45,0,16,2,3,43.3,0
Beard Trim,20,3,18,2,3,19.7,0
Haircut,30,0,17,2,3,28.2,0
Haircut,30,1,12,0,2,12.8,0
Haircut,30,4,15,0,2,13.8,0
Beard Trim,20,1,14,0,2,10.3,0
Buzz Cut,15,4,18,5,3,32.0,0
Haircut + Beard,45,0,10,1,2,43.0,0
Haircut,30,4,9,1,2,27.6,0
Haircut,30,1,18,1,3,20.6,0
Haircut,30,0,14,1,2,28.3,0
Buzz Cut,15,3,9,2,2,20.8,0
Haircut,30,2,17,2,3,30.9,0
Beard Trim,20,4,18,1,3,15.9,0
Haircut,30,3,17,0,3,10.9,0
Haircut,30,2,12,0,2,15.0,0
Haircut + Beard,45,5,9,2,3,46.0,0
Haircut,30,5,18,0,3,9.7,0
Haircut,30,3,12,1,2,36.3,0
Haircut,30,3,13,1,2,34.5,0
Haircut,30,5,11,0,3,10.2,0
Haircut,30,5,17,1,3,18.9,0
Beard Trim,20,1,15,0,2,9.3,0
Buzz Cut,15,6,10,1,3,10.2,0
Haircut,30,1,10,0,2,15.2,0
Beard Trim,20,5,11,0,3,6.3,0
Buzz Cut,15,5,17,1,3,9.4,0
Haircut,30,5,11,0,3,10.6,0
Haircut,30,3,18,0,3,9.2,0
Haircut,30,1,17,1,3,22.7,0
Haircut,30,5,11,1,3,20.5,0
Beard Trim,20,5,16,2,3,22.0,0
Beard Trim,20,0,14,3,2,38.8,0
Beard Trim,20,0,10,1,2,20.0,0
Haircut,30,2,17,2,3,32.3,0
Haircut,30,0,15,1,2,26.9,0
Haircut,30,1,18,2,3,31.4,0
Buzz Cut,15,6,9,1,3,11.0,0
Haircut + Beard,45,4,11,0,2,21.8,0
Buzz Cut,15,1,17,2,3,14.8,0
Haircut + Beard,45,6,18,3,3,59.5,0
Buzz Cut,15,5,17,3,3,21.5,0
Haircut + Beard,45,1,15,1,2,40.7,0
Haircut,30,4,12,0,2,16.4,0
Buzz Cut,15,1,13,2,2,23.6,0
Beard Trim,20,5,11,3,3,28.5,0
Buzz Cut,15,2,16,4,3,24.5,0
Haircut,30,3,13,1,2,27.5,0
Haircut,30,5,10,1,3,20.5,0
Buzz Cut,15,2,13,0,2,5.6,0
Haircut,30,4,14,0,2,12.4,0
Haircut,30,5,10,1,3,17.8,0
Buzz Cut,15,5,15,0,3,4.1,0
Haircut,30,4,17,2,3,26.7,0
Haircut,30,5,13,2,3,32.1,0
Haircut,30,2,15,0,2,14.2,0
Haircut,30,0,18,1,3,19.3,0
Haircut,30,5,18,0,3,11.2,0
Buzz Cut,15,1,9,2,2,21.9,0
Haircut,30,5,11,2,3,35.6,0
Buzz Cut,15,2,15,2,2,20.6,0
Beard Trim,20,1,10,3,2,37.3,0
Beard Trim,20,3,17,5,3,49.2,0
Haircut,30,2,18,0,3,11.8,1
Buzz Cut,15,0,13,4,2,39.1,0
Haircut,30,3,15,0,2,16.2,0
Haircut,30,6,10,2,3,33.3,0
Haircut,30,4,10,1,2,26.5,0
Buzz Cut,15,4,16,1,3,9.9,0
Beard Trim,20,3,16,0,3,6.6,0
Haircut + Beard,45,5,11,3,3,60.1,0
Buzz Cut,15,2,9,1,2,15.9,0
Haircut + Beard,45,4,14,2,2,65.3,0
Buzz Cut,15,5,10,4,3,23.1,0
Beard Trim,20,1,16,0,3,6.1,0
Haircut,30,0,9,0,2,14.9,0
Haircut,30,0,18,1,3,22.8,0
Haircut + Beard,45,5,13,2,3,50.3,0
Buzz Cut,15,6,10,0,3,5.4,0
Haircut,30,6,9,2,3,31.0,0
Haircut,30,5,13,0,3,10.5,0
Buzz Cut,15,4,10,0,2,7.5,0
Haircut,30,5,17,4,3,51.5,0
Buzz Cut,15,1,17,0,3,4.5,0
Buzz Cut,15,5,14,2,3,19.5,0
Haircut,30,4,10,0,2,14.1,0
Beard Trim,20,6,12,1,3,12.4,0
Buzz Cut,15,5,17,1,3,11.4,0
Haircut,30,3,18,0,3,10.5,0
Beard Trim,20,0,16,0,3,7.0,0
Haircut,30,0,14,0,2,13.9,0
Buzz Cut,15,0,10,0,2,6.2,0
Buzz Cut,15,1,15,0,2,6.8,0
Beard Trim,20,3,9,2,2,29.4,0
Haircut,30,0,10,1,2,29.9,0
Haircut,30,2,9,1,2,33.3,0
Beard Trim,20,0,9,0,2,9.2,0
Haircut,30,6,18,1,3,21.2,0
Haircut,30,5,15,0,3,11.1,0
Buzz Cut,15,6,12,3,3,18.1,0
Haircut,30,1,16,1,3,21.1,0
Haircut,30,6,9,2,3,30.3,1
Buzz Cut,15,6,17,2,3,14.8,0
Haircut,30,4,17,1,3,23.1,0
Beard Trim,20,4,17,1,3,12.3,0
Haircut,30,4,17,1,3,21.3,0
Haircut,30,6,15,2,3,31.7,0
Haircut + Beard,45,6,10,1,3,33.1,0
Buzz Cut,15,5,14,4,3,25.3,0
Haircut + Beard,45,4,10,0,2,22.8,0
Haircut,30,4,10,0,2,15.3,0
Beard Trim,20,5,9,0,3,6.6,1
Haircut,30,0,10,0,2,15.9,0
Haircut,30,5,14,3,3,43.2,0
Haircut,30,2,17,0,3,10.5,0
Haircut,30,4,11,2,2,44.1,0
Haircut,30,5,12,0,3,10.1,0
Buzz Cut,15,5,9,2,3,17.6,0
Haircut,30,3,10,0,2,17.6,0
Haircut,30,5,12,1,3,18.7,0
Haircut + Beard,45,5,18,2,3,38.7,0
Buzz Cut,15,6,17,0,3,5.0,0
Haircut,30,5,17,0,3,11.0,0
Buzz Cut,15,2,18,1,3,10.8,0
Haircut + Beard,45,0,14,0,2,22.1,0
Haircut,30,5,16,0,3,9.3,0
Haircut + Beard,45,5,10,3,3,58.2,0
Haircut,30,1,14,1,2,28.2,0
Buzz Cut,15,4,10,2,2,22.0,0
Buzz Cut,15,4,16,1,3,11.5,0
Beard Trim,20,6,17,2,3,20.7,0
Haircut,30,6,10,4,3,52.9,1
Haircut,30,2,10,2,2,49.7,0
Haircut,30,0,12,3,2,48.1,0
Buzz Cut,15,6,13,0,3,5.9,0
Beard Trim,20,0,17,0,3,6.3,0
Haircut,30,0,10,0,2,16.1,0
Haircut + Beard,45,6,10,1,3,27.8,0
Haircut,30,6,16,1,3,23.2,0
Beard Trim,20,6,10,0,3,6.2,0
Haircut + Beard,45,6,12,5,3,94.6,1
Haircut + Beard,45,4,11,0,2,22.1,0
Beard Trim,20,4,15,1,2,24.6,0
Buzz Cut,15,4,16,0,3,4.7,0
Haircut,30,5,17,0,3,10.6,0
Haircut,30,5,12,0,3,11.2,0
Haircut,30,2,17,0,3,9.7,0
Buzz Cut,15,6,15,5,3,28.7,0
Haircut,30,5,12,2,3,36.6,0
Haircut,30,6,11,3,3,35.9,0
Beard Trim,20,3,14,1,2,20.6,0
Buzz Cut,15,3,12,0,2,8.8,0
Buzz Cut,15,1,18,1,3,11.0,0
Haircut,30,6,12,1,3,19.2,0
Haircut + Beard,45,0,10,0,2,23.4,0
Haircut,30,4,9,1,2,26.0,0
Haircut,30,2,18,0,3,7.5,0
Buzz Cut,15,3,10,0,2,7.6,0
Buzz Cut,15,2,14,1,2,16.6,0
Buzz Cut,15,0,15,0,2,9.1,0
Haircut + Beard,45,2,9,0,2,21.8,0
Haircut,30,5,18,1,3,22.7,0
Haircut + Beard,45,6,17,4,3,64.2,0
Beard Trim,20,5,14,0,3,5.9,0
Haircut + Beard,45,2,15,1,2,49.6,0
Beard Trim,20,2,9,2,2,25.3,0
Haircut,30,2,17,0,3,9.3,0
Haircut + Beard,45,3,18,3,3,75.5,0
Haircut,30,0,10,2,2,48.9,0
Buzz Cut,15,2,17,4,3,27.7,0
Buzz Cut,15,6,9,5,3,31.5,0
Beard Trim,20,4,11,2,2,29.7,0
Haircut,30,1,14,1,2,32.2,0
Haircut,30,5,9,2,3,30.3,0
Haircut + Beard,45,6,17,0,3,15.4,0
Beard Trim,20,3,13,0,2,11.0,0
Haircut,30,2,10,0,2,17.1,0
Buzz Cut,15,4,16,2,3,16.7,0
Haircut,30,6,18,1,3,21.5,0
Haircut + Beard,45,5,16,1,3,34.7,0
Haircut + Beard,45,5,15,1,3,27.2,0
Haircut,30,3,13,1,2,33.7,0
Beard Trim,20,4,16,2,3,19.2,0
Beard Trim,20,1,18,1,3,14.3,0
Haircut,30,6,12,0,3,10.0,0
